country_ch,country_en,cases,deaths
美國,United States,"54,650,264","842,143"
印度,India,"34,861,579","481,486"
巴西,Brazil,"22,291,507","619,105"
英國,United Kingdom,"13,100,458","148,778"
俄羅斯,Russia,"10,519,733","309,707"
法國,France,"10,191,926","123,851"
土耳其,Turkey,"9,519,281","82,506"
德國,Germany,"7,176,814","112,109"
西班牙,Spain,"6,294,745","89,405"
義大利,Italy,"6,266,939","137,513"
伊朗,Iran,"6,195,403","131,639"
阿根廷,Argentina,"5,674,428","117,181"
哥倫比亞,Colombia,"5,169,855","129,986"
印尼,Indonesia,"4,262,994","144,096"
波蘭,Poland,"4,120,248","97,559"
墨西哥,Mexico,"3,979,723","299,428"
烏克蘭,Ukraine,"3,672,675","96,089"
南非,South Africa,"3,468,079","91,198"
荷蘭,Netherlands,"3,148,315","20,951"
菲律賓,Philippines,"2,847,486","51,545"
馬來西亞,Malaysia,"2,761,472","31,513"
捷克,Czech Republic,"2,480,736","36,182"
秘魯,Peru,"2,296,831","202,690"
泰國,Thailand,"2,226,446","21,708"
加拿大,Canada,"2,183,527","30,319"
比利時,Belgium,"2,105,343","28,331"
伊拉克,Iraq,"2,093,891","24,163"
羅馬尼亞,Romania,"1,810,342","58,779"
智利,Chile,"1,808,398","39,140"
越南,Vietnam,"1,746,092","32,610"
日本,Japan,"1,734,078","18,392"
孟加拉,Bangladesh,"1,585,909","28,076"
葡萄牙,Portugal,"1,412,936","18,976"
以色列,Israel,"1,389,247","8,244"
瑞典,Sweden,"1,314,784","15,310"
瑞士,Switzerland,"1,313,415","11,861"
塞爾維亞,Serbia,"1,300,949","12,739"
巴基斯坦,Pakistan,"1,295,933","28,933"
奧地利,Austria,"1,282,227","13,749"
匈牙利,Hungary,"1,256,415","39,186"
希臘,Greece,"1,240,862","20,849"
約旦,Jordan,"1,064,277","12,684"
哈薩克,Kazakhstan,"988,313","13,012"
古巴,Cuba,"966,473","8,323"
摩洛哥,Morocco,"965,420","14,851"
喬治亞,Georgia,"936,844","13,860"
斯洛伐克,Slovakia,"844,393","16,665"
尼泊爾,Nepal,"828,773","11,594"
丹麥,Denmark,"815,899","3,287"
愛爾蘭,Ireland,"811,840","5,912"
阿拉伯聯合大公國,UAE,"764,493","2,165"
保加利亞,Bulgaria,"748,184","30,983"
黎巴嫩,Lebanon,"731,288","9,136"
突尼西亞,Tunisia,"727,843","25,576"
克羅埃西亞,Croatia,"720,538","12,571"
白俄羅斯,Belarus,"700,421","5,594"
韓國,South Korea,"635,254","5,625"
瓜地馬拉,Guatemala,"628,589","16,108"
亞塞拜然,Azerbaijan,"617,311","8,365"
玻利維亞,Bolivia,"599,753","19,680"
斯里蘭卡,Sri Lanka,"587,596","14,997"
哥斯大黎加,Costa Rica,"570,556","7,353"
沙烏地阿拉伯,Saudi Arabia,"557,082","8,878"
厄瓜多,Ecuador,"549,418","33,681"
緬甸,Myanmar,"530,946","19,272"
立陶宛,Lithuania,"521,692","7,403"
巴拿馬,Panama,"495,920","7,428"
巴勒斯坦,Palestine,"470,514","4,934"
巴拉圭,Paraguay,"468,025","16,629"
斯洛維尼亞,Slovenia,"465,711","5,597"
委內瑞拉,Venezuela,"444,635","5,328"
澳洲,Australia,"430,824","2,252"
衣索比亞,Ethiopia,"424,340","6,947"
多明尼加,Dominican,"419,927","4,247"
科威特,Kuwait,"417,723","2,468"
烏拉圭,Uruguay,"413,383","6,170"
挪威,Norway,"394,259","1,305"
蒙古,Mongolia,"389,650","1,986"
利比亞,Libya,"388,734","5,710"
埃及,Egypt,"386,358","21,768"
宏都拉斯,Honduras,"379,542","10,434"
摩爾多瓦,Moldova,"376,434","10,284"
